tstart,alpha,beta,chi,delta,eta,gamma,kappa,lambda,mu,nu,omega,phi,rho,theta
215339504.055,5.50765491972e-08,0.968805164801,2.10728962921e-10,5.08857459307e-09,1.96372224402e-08,1.0675762526e-05,2.84272175887e-07,1.2438857314e-07,8.10841877897e-08,0.00024331049501,9.46516643473e-14,6.42373188453e-11,0.0234258260544,0.00751445306506
293091392.062,1.68821678486e-10,7.01539845349e-09,0.966009089268,4.43347700594e-10,7.7388247779e-07,9.85202379088e-08,6.09575477366e-11,1.25596130243e-10,2.85119916195e-13,0.0017078332854,0.0153820477909,6.88408920618e-08,5.11281262609e-16,0.0169000805976
293091648.062,2.47907139812e-10,9.21764783919e-09,0.96701865432,3.69160328068e-10,1.01699568255e-06,1.35896461094e-07,9.90902903887e-11,1.38636272505e-10,5.91445926161e-13,0.00304877497393,0.0117966652924,6.97439666302e-08,1.16431486181e-15,0.0181346727049
293091904.062,7.1147969313e-10,2.38371603614e-08,0.940591739935,8.55206615289e-10,3.04809439831e-06,2.16893463309e-07,1.95541887312e-10,1.26910116107e-10,6.60858482897e-13,0.00337167065434,0.00703372309229,1.29783954128e-07,8.04966476016e-15,0.04899944582
293092160.062,4.08601913931e-10,1.33739071208e-08,0.957809385968,7.03967863473e-10,1.90813118455e-06,1.73523600594e-07,1.61289646941e-10,1.38900818459e-10,6.6115999815e-13,0.00305512252976,0.0125253090172,1.14962148744e-07,2.9313125272e-15,0.0266079710809
206060406.062,0.00241762240693,3.55704154144e-06,0.608360071922,1.22788488774e-12,7.85468767243e-09,5.18863980419e-05,1.02676176078e-12,1.53622465522e-09,1.008825197e-08,0.388916635854,7.98319304539e-09,2.91186843141e-09,1.61549394262e-17,0.000250196001025
206060662.062,0.00266495000863,3.63048400067e-06,0.611295311787,1.69445703326e-12,8.68193332251e-09,5.87206521815e-05,1.30826148664e-12,1.79503954854e-09,1.27119087177e-08,0.38574955571,1.11292121885e-08,3.80923954397e-09,1.74456216053e-17,0.000227793228227
406737130.07,0.0212088826194,5.42125241307e-07,0.639972112682,3.29288155906e-12,1.55126894272e-07,2.59708395054e-05,3.26727256388e-12,3.20497122048e-10,1.21696772945e-08,0.33870550702,6.34085247958e-08,2.46642300213e-08,2.60614085996e-17,8.67290166875e-05
406737386.068,0.0302270087882,7.26885358556e-07,0.587935175064,5.02056618473e-12,2.15437399346e-07,2.52480854822e-05,5.48616080631e-12,3.38137970074e-10,1.20176436368e-08,0.381631217937,8.19272359085e-08,2.79337781845e-08,5.32642851168e-17,0.000180285575315
406737642.066,0.0187001619032,4.3662170988e-07,0.563159777774,4.4206743688e-12,1.51773030272e-07,2.41567622737e-05,6.31025526346e-12,3.97920679928e-10,1.80906946305e-08,0.4180279971,1.48573008158e-07,2.77953719992e-08,2.90856635477e-17,8.71231988571e-05
406737898.064,0.00706094986717,1.66608598712e-07,0.711442226582,1.52544408789e-12,5.54465216895e-08,1.78868154623e-05,1.54146682927e-12,2.97772770449e-10,1.17120437558e-08,0.28145736882,1.09041278353e-07,1.65519146012e-08,3.18810473547e-18,2.1208253908e-05
260255456.063,4.20276544177e-07,1.04987181162e-07,0.999088124181,4.00843250249e-07,9.89092899937e-11,0.000850450188816,7.94561059366e-17,1.32342319344e-09,1.03362271054e-11,3.98957028876e-08,1.60783007728e-07,6.02971681119e-05,1.76927731481e-23,2.43616626443e-10
260255712.063,4.68362457045e-07,1.10864767715e-07,0.999217925295,3.60250260394e-07,1.01945263778e-10,0.000728787515938,7.47843621876e-17,1.2557075552e-09,8.00334615191e-12,3.85726460848e-08,1.54463812954e-07,5.2152975397e-05,1.74417048319e-23,3.34527199833e-10
239777328.063,0.00344276348568,3.95619645902e-07,0.592276994543,1.32929819778e-12,7.21692363366e-08,5.22024283905e-06,2.95915379976e-12,3.02119751568e-10,1.98697562482e-09,0.403342570889,1.77204157688e-07,4.61903478203e-09,1.95519097297e-17,0.000931798934489
239777584.063,0.00375288933677,3.32439802217e-07,0.534739271089,1.01590851486e-12,6.438970252e-08,6.11959601268e-06,3.09687215594e-12,2.78961766072e-10,3.3488500489e-09,0.460982859061,1.40148808408e-07,4.60312634353e-09,1.91399194202e-17,0.000518315704101
239777840.064,0.00489879302177,3.50677233486e-07,0.625742963893,1.46161184194e-12,6.87428723511e-08,6.67500113338e-06,2.59261213963e-12,3.02657539557e-10,2.87887861529e-09,0.368846362053,1.66965520133e-07,6.17758358271e-09,1.33143301637e-17,0.000504610282647
